airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,9840
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,14.17,2,9840
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,15.75,2,9840
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,2,10566
Air_India,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.33,2,10303
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.08,2,10523
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,2,10523
Vistara,Delhi,Night,one,Night,Mumbai,Economy,26.42,2,11048
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,10838
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,2,10838
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.42,2,10838
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.67,2,11100
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8,2,11326
Indigo,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,2,11678
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,2,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,14.67,2,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,16.17,2,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,2,12150
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,2,11814
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,2,11814
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08,2,11900
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.58,2,12308
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,4.42,2,12570
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,2,12570
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7,2,12623
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,2,12623
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,2,12623
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,12298
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.17,2,12302
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.5,2,12465
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Economy,18,2,12990
Air_India,Delhi,Morning,one,Late_Night,Mumbai,Economy,13.25,2,12675
SpiceJet,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,2,12850
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11.42,2,12990
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,2,12990
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,2,12990
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,21.42,2,12990
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,2,13069
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.75,2,13321
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.33,2,13673
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,2,13830
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.75,2,14093
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.17,2,14093
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,13.75,2,14093
Air_India,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,2,13830
GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,2,14129
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.17,2,14513
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.75,2,14513
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,2,14250
GO_FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,2,14409
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,2,14487
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,6,2,14933
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,2,14933
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,2,15038
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,2,15353
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,2,15353
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,19.33,2,15353
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26,2,15353
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,28.25,2,15353
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,2,15117
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,2,15195
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,2,15232
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.25,2,15510
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,2,15720
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,2,15720
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,2,15720
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,2,16035
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,2,16560
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,2,16560
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,16823
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,24.42,2,17348
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26.67,2,17348
GO_FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,2,17136
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.83,2,18135
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,27.17,2,18135
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,2,19343
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,2,19553
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,2,19815
Air_India,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,2,20445
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,2,21180
Air_India,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,2,22335
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,2,23281
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,2,23281
Vistara,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,2,24488
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,24855
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,28.42,2,25905
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,2,29160
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,2,29580
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,3,5953
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,3,5953
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5953
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
GO_FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5954
GO_FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5954
GO_FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,5954
GO_FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,3,5955
AirAsia,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,3,5956
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,5955
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5955
GO_FIRST,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,3,5954
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75,3,5954
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,3.75,3,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6375
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6060
SpiceJet,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,3,6270
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,6690
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,6532
GO_FIRST,Delhi,Night,zero,Night,Mumbai,Economy,2.25,3,6532
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,7005
Air_India,Delhi,Evening,zero,Evening,Mumbai,Economy,2,3,6795
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,7110
Indigo,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,3,7420
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,5,3,7583
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,3,7845
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,8055
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,3,8370
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,8370
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,3,9525
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,3,9988
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,3,9840
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,3,9988
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,3,10523
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,3,11048
SpiceJet,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,3,10759
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,24.75,3,10785
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,3,10863
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.42,3,10943
Vistara,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,3,11415
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,3,11415
Vistara,Delhi,Night,one,Night,Mumbai,Economy,26.42,3,11415
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,4.42,3,11326
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,3,11326
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,3,11468
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.58,3,12098
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,3,12150
SpiceJet,Delhi,Evening,one,Night,Mumbai,Economy,4.5,3,11809
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,3,11814
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,3,11814
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5,3,11900
Indigo,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83,3,11993
SpiceJet,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,3,12010
GO_FIRST,Delhi,Morning,two_or_more,Night,Mumbai,Economy,11,3,12045
GO_FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,3,12045
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11.33,3,12150
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.83,3,12150
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,3,12150
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,3,12229
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.33,3,12623
Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.83,3,12298
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,3,12780
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.92,3,12465
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,3,12885
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,5.33,3,12570
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,3,12570
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,3,12990
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,3,13410
GO_FIRST,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.08,3,13069
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,3,13069
Air_India,Delhi,Morning,one,Afternoon,Mumbai,Economy,26.08,3,13086
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,3,13515
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,3,13200
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,5.42,3,13279
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,3,13515
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,3,14040
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,24.42,3,14040
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26,3,14040
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,3,13767
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,4.42,3,14565
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,15.75,3,14565
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,26.67,3,14565
Vistara,Delhi,Early_Morning,one,Morning,Mumbai,Economy,28.5,3,14565
